,Line Name and Location,Date and Time,Day,4hr Time Interval Ending at,Net Entries,Net Exits,Total Entries & Exits
0,Line 1 : Canal & Varick St,2021-09-01 08:00:00,Wednesday,08:00:00,104.0,501.0,605.0
1,Line 1 : Canal & Varick St,2021-09-01 12:00:00,Wednesday,12:00:00,196.0,501.0,697.0
2,Line 1 : Canal & Varick St,2021-09-01 16:00:00,Wednesday,16:00:00,460.0,399.0,859.0
3,Line 1 : Canal & Varick St,2021-09-01 20:00:00,Wednesday,20:00:00,460.0,287.0,747.0
4,Line 1 : Canal & Varick St,2021-09-02 00:00:00,Thursday,00:00:00,28.0,53.0,81.0
5,Line 1 : Canal & Varick St,2021-09-02 04:00:00,Thursday,04:00:00,4.0,10.0,14.0
6,Line 1 : Canal & Varick St,2021-09-02 08:00:00,Thursday,08:00:00,7.0,15.0,22.0
7,Line 1 : Canal & Varick St,2021-09-02 12:00:00,Thursday,12:00:00,2.0,0.0,2.0
8,Line 1 : Canal & Varick St,2021-09-02 16:00:00,Thursday,16:00:00,15.0,44.0,59.0
9,Line 1 : Canal & Varick St,2021-09-02 20:00:00,Thursday,20:00:00,398.0,327.0,725.0
10,Line 1 : Canal & Varick St,2021-09-03 00:00:00,Friday,00:00:00,177.0,111.0,288.0
11,Line 1 : Canal & Varick St,2021-09-03 04:00:00,Friday,04:00:00,36.0,39.0,75.0
12,Line 1 : Canal & Varick St,2021-09-03 08:00:00,Friday,08:00:00,61.0,471.0,532.0
13,Line 1 : Canal & Varick St,2021-09-03 12:00:00,Friday,12:00:00,208.0,515.0,723.0
14,Line 1 : Canal & Varick St,2021-09-03 16:00:00,Friday,16:00:00,487.0,625.0,1112.0
15,Line 1 : Canal & Varick St,2021-09-03 20:00:00,Friday,20:00:00,461.0,527.0,988.0
16,Line 1 : Canal & Varick St,2021-09-04 04:00:00,Saturday,04:00:00,61.0,55.0,116.0
17,Line 1 : Canal & Varick St,2021-09-04 08:00:00,Saturday,08:00:00,33.0,137.0,170.0
18,Line 1 : Canal & Varick St,2021-09-04 12:00:00,Saturday,12:00:00,135.0,508.0,643.0
19,Line 1 : Canal & Varick St,2021-09-04 16:00:00,Saturday,16:00:00,387.0,736.0,1123.0
20,Line 1 : Canal & Varick St,2021-09-04 20:00:00,Saturday,20:00:00,341.0,503.0,844.0
21,Line 1 : Canal & Varick St,2021-09-05 00:00:00,Sunday,00:00:00,223.0,277.0,500.0
22,Line 1 : Canal & Varick St,2021-09-05 04:00:00,Sunday,04:00:00,83.0,59.0,142.0
23,Line 1 : Canal & Varick St,2021-09-05 08:00:00,Sunday,08:00:00,28.0,98.0,126.0
24,Line 1 : Canal & Varick St,2021-09-05 12:00:00,Sunday,12:00:00,156.0,396.0,552.0
25,Line 1 : Canal & Varick St,2021-09-05 16:00:00,Sunday,16:00:00,283.0,683.0,966.0
26,Line 1 : Canal & Varick St,2021-09-05 20:00:00,Sunday,20:00:00,289.0,424.0,713.0
27,Line 1 : Canal & Varick St,2021-09-06 00:00:00,Monday,00:00:00,159.0,112.0,271.0
