,Line Name and Location,Date and Time,Day,4hr Time Interval Ending at,Net Entries,Net Exits,Total Entries & Exits
0,Line 1 : Canal & Varick St,2019-09-01 08:00:00,Sunday,08:00:00,60.0,89.0,149.0
1,Line 1 : Canal & Varick St,2019-09-01 12:00:00,Sunday,12:00:00,353.0,726.0,1079.0
2,Line 1 : Canal & Varick St,2019-09-01 16:00:00,Sunday,16:00:00,661.0,1018.0,1679.0
3,Line 1 : Canal & Varick St,2019-09-01 20:00:00,Sunday,20:00:00,795.0,727.0,1522.0
4,Line 1 : Canal & Varick St,2019-09-02 00:00:00,Monday,00:00:00,292.0,208.0,500.0
5,Line 1 : Canal & Varick St,2019-09-02 04:00:00,Monday,04:00:00,45.0,40.0,85.0
6,Line 1 : Canal & Varick St,2019-09-02 08:00:00,Monday,08:00:00,71.0,137.0,208.0
7,Line 1 : Canal & Varick St,2019-09-02 12:00:00,Monday,12:00:00,326.0,511.0,837.0
8,Line 1 : Canal & Varick St,2019-09-02 16:00:00,Monday,16:00:00,492.0,684.0,1176.0
9,Line 1 : Canal & Varick St,2019-09-02 20:00:00,Monday,20:00:00,574.0,405.0,979.0
10,Line 1 : Canal & Varick St,2019-09-03 00:00:00,Tuesday,00:00:00,230.0,129.0,359.0
11,Line 1 : Canal & Varick St,2019-09-03 04:00:00,Tuesday,04:00:00,24.0,46.0,70.0
12,Line 1 : Canal & Varick St,2019-09-03 08:00:00,Tuesday,08:00:00,342.0,1454.0,1796.0
13,Line 1 : Canal & Varick St,2019-09-03 12:00:00,Tuesday,12:00:00,765.0,2236.0,3001.0
14,Line 1 : Canal & Varick St,2019-09-03 16:00:00,Tuesday,16:00:00,1591.0,1092.0,2683.0
15,Line 1 : Canal & Varick St,2019-09-03 20:00:00,Tuesday,20:00:00,3290.0,935.0,4225.0
16,Line 1 : Canal & Varick St,2019-09-04 00:00:00,Wednesday,00:00:00,393.0,197.0,590.0
17,Line 1 : Canal & Varick St,2019-09-04 04:00:00,Wednesday,04:00:00,73.0,55.0,128.0
